,Game,Team,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,spread_barttorvik,spread_drating,spread_kenpom,spread_evanmiya,Moneyline Win Probability,Opening Moneyline,Moneyline Edge,win_prob_barttorvik,win_prob_drating,win_prob_kenpom,win_prob_evanmiya,average_total,theoddsapi_total,projected_total_barttorvik,projected_total_drating,projected_total_kenpom,projected_total_evanmiya,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge
0,Washington Huskies vs. UCLA Bruins,Washington Huskies,6,0.474158136,5.5,-0.045072633230769266,5.7,,,,0.28,210,-0.04258064516129029,0.28,,,,141.7,145.5,136.0,,,,0.4434567777,0.550160931,-0.10199776775454539,0.03093016176923069
1,Washington Huskies vs. UCLA Bruins,UCLA Bruins,-6,0.525841864,-5.5,-0.019612681454545422,-5.7,,,,0.72,-280,-0.01684210526315788,0.72,,,,141.7,145.5,136.0,,,,0.4434567777,0.550160931,-0.10199776775454539,0.03093016176923069
