Game,Team,spread_barttorvik,win_prob_barttorvik,projected_total_barttorvik,spread_drating,win_prob_drating,projected_total_drating,spread_evanmiya,win_prob_evanmiya,projected_total_evanmiya,spread_kenpom,win_prob_kenpom,projected_total_kenpom,spread_massey,win_prob_massey,projected_total_massey,Opening Moneyline,Moneyline Win Probability,Opening Spread,theoddsapi_total,Moneyline Edge,average_total
Arkansas State vs Appalachian State,Arkansas State,,,,,,,6.5,0.72,134.3,,,,,,,,0.72,,,,134.3
Arkansas State vs Texas State,Arkansas State,,,,,,,8.1,0.768,146.1,,,,,,,,0.768,,,,146.1
Arkansas State vs Texas State,Texas State,,,,,,,-8.1,0.23199999999999998,146.1,,,,,,,,0.23199999999999998,,,,146.1
Arkansas vs Georgia,Arkansas,,,,,,,1.4,0.55,141.0,,,,,,,,0.55,,,,141.0
Arkansas vs Georgia,Georgia,,,,,,,-1.4,0.45,141.0,,,,,,,,0.45,,,,141.0
Arkansas vs Oklahoma,Arkansas,,,,,,,3.3,0.616,148.8,,,,,,,,0.616,,,,148.8
Arkansas vs Oklahoma,Oklahoma,,,,,,,-3.3,0.384,148.8,,,,,,,,0.384,,,,148.8
Arkansas-Little Rock vs Eastern Illinois,Arkansas-Little Rock,,,,,,,8.3,0.77,131.8,,,,,,,,0.77,,,,131.8
Arkansas-Little Rock vs Eastern Illinois,Eastern Illinois,,,,,,,-8.3,0.23,131.8,,,,,,,,0.23,,,,131.8
Arkansas-Little Rock vs Tennessee State,Arkansas-Little Rock,,,,,,,4.8,0.66,139.9,,,,,,,,0.66,,,,139.9
Arkansas-Little Rock vs Tennessee State,Tennessee State,,,,,,,-4.8,0.34,139.9,,,,,,,,0.34,,,,139.9
Arkansas-Pine Bluff vs Grambling,Arkansas-Pine Bluff,,,,,,,-2.8,0.40399999999999997,149.5,,,,,,,,0.40399999999999997,,,,149.5
Arkansas-Pine Bluff vs Grambling,Grambling,,,,,,,2.8,0.596,149.5,,,,,,,,0.596,,,,149.5
Arkansas-Pine Bluff vs Southern,Arkansas-Pine Bluff,,,,,,,-14.0,0.115,151.2,,,,,,,,0.115,,,,151.2
Arkansas-Pine Bluff vs Southern,Southern,,,,,,,14.0,0.885,151.2,,,,,,,,0.885,,,,151.2
Army vs Colgate,Army,,,,,,,-3.6,0.37200000000000005,140.6,,,,,,,,0.37200000000000005,,,,140.6
Army vs Colgate,Colgate,,,,,,,3.6,0.628,140.6,,,,,,,,0.628,,,,140.6
Army vs Holy Cross,Army,,,,,,,,,,,,,4.5,0.38,119.0,,0.38,,,,119.0
Army vs Holy Cross,Holy Cross,,,,,,,,,,,,,-4.5,0.62,119.0,,0.62,,,,119.0
Army vs Navy,Army,,,,,,,2.7,0.597,142.3,,,,,,,,0.597,,,,142.3
Army vs Navy,Navy,,,,,,,-2.7,0.40299999999999997,142.3,,,,,,,,0.40299999999999997,,,,142.3
Atlanta vs Detroit,Atlanta,,,,,,,,,,,,,-4.5,0.6,234.0,,0.6,,,,234.0
Atlanta vs Detroit,Detroit,,,,,,,,,,,,,4.5,0.4,234.0,,0.4,,,,234.0
Auburn vs Tennessee,Auburn,,,,,,,4.5,0.6559999999999999,141.0,,,,,,,,0.6559999999999999,,,,141.0
Auburn vs Tennessee,Tennessee,,,,,,,-4.5,0.344,141.0,,,,,,,,0.344,,,,141.0
Austin Peay vs Bellarmine,Austin Peay,,,,,,,8.6,0.7809999999999999,139.2,,,,,,,,0.7809999999999999,,,,139.2
Austin Peay vs Bellarmine,Bellarmine,,,,,,,-8.6,0.21899999999999997,139.2,,,,,,,,0.21899999999999997,,,,139.2
BYU vs Baylor,BYU,,,,,,,-1.2,0.45799999999999996,145.8,,,,,,,,0.45799999999999996,,,,145.8
BYU vs Baylor,Baylor,,,,,,,1.2,0.542,145.8,,,,,,,,0.542,,,,145.8
BYU vs Cincinnati,BYU,,,,,,,2.1,0.5760000000000001,135.6,,,,,,,,0.5760000000000001,,,,135.6
BYU vs Cincinnati,Cincinnati,,,,,,,-2.1,0.424,135.6,,,,,,,,0.424,,,,135.6
Ball State vs Western Michigan,Ball State,,,,,,,6.1,0.7070000000000001,148.6,,,,,,,,0.7070000000000001,,,,148.6
Ball State vs Western Michigan,Western Michigan,,,,,,,-6.1,0.293,148.6,,,,,,,,0.293,,,,148.6
Baylor vs Kansas,Baylor,,,,,,,-1.8,0.436,143.1,,,,,,,,0.436,,,,143.1
Baylor vs Kansas,Kansas,,,,,,,1.8,0.564,143.1,,,,,,,,0.564,,,,143.1
Baylor vs Kansas State,Baylor,,,,,,,13.6,0.893,145.3,,,,,,,,0.893,,,,145.3
Baylor vs Kansas State,Kansas State,,,,,,,-13.6,0.107,145.3,,,,,,,,0.107,,,,145.3
Bellarmine vs Florida Gulf Coast,Bellarmine,,,,,,,-11.2,0.151,141.1,,,,,,,,0.151,,,,141.1
Bellarmine vs Florida Gulf Coast,Florida Gulf Coast,,,,,,,11.2,0.8490000000000001,141.1,,,,,,,,0.8490000000000001,,,,141.1
Bellarmine vs Stetson,Bellarmine,,,,,,,1.5,0.551,150.1,,,,,,,,0.551,,,,150.1
Bellarmine vs Stetson,Stetson,,,,,,,-1.5,0.449,150.1,,,,,,,,0.449,,,,150.1
Belmont vs Bradley,Belmont,3.0,0.39,155.0,,,,-5.0,0.32899999999999996,152.5,,,,2.52,0.43,149.0,,0.39,,,,152.16666666666666
Belmont vs Bradley,Bradley,-3.0,0.61,155.0,,,,5.0,0.6709999999999999,152.5,,,,-2.52,0.57,149.0,,0.61,,,,152.16666666666666
Binghamton vs Vermont,Binghamton,,,,,,,-5.7,0.297,128.7,,,,,,,,0.297,,,,128.7
Binghamton vs Vermont,Vermont,,,,,,,5.7,0.703,128.7,,,,,,,,0.703,,,,128.7
Boise State vs Nevada,Boise State,,,,,,,3.6,0.63,138.3,,,,,,,,0.63,,,,138.3
Boise State vs Nevada,Nevada,,,,,,,-3.6,0.37,138.3,,,,,,,,0.37,,,,138.3
Boston Univ vs Navy,Boston Univ,,,,,,,,,,,,,-3.5,0.58,126.0,,0.58,,,,126.0
Boston Univ vs Navy,Navy,,,,,,,,,,,,,3.5,0.42,126.0,,0.42,,,,126.0
Boston University vs Holy Cross,Boston University,,,,,,,5.3,0.688,134.0,,,,,,,,0.688,,,,134.0
Boston University vs Holy Cross,Holy Cross,,,,,,,-5.3,0.312,134.0,,,,,,,,0.312,,,,134.0
Bowling Green vs Toledo,Bowling Green,,,,,,,-3.4,0.386,156.8,,,,,,,,0.386,,,,156.8
Bowling Green vs Toledo,Toledo,,,,,,,3.4,0.614,156.8,,,,,,,,0.614,,,,156.8
Bowling Green vs W Michigan,Bowling Green,,,,,,,,,,,,,-11.5,0.82,129.0,,0.82,,,,129.0
Bowling Green vs W Michigan,W Michigan,,,,,,,,,,,,,11.5,0.18,129.0,,0.18,,,,129.0
Bradley vs Illinois State,Bradley,,,,,,,9.1,0.8009999999999999,140.8,,,,,,,,0.8009999999999999,,,,140.8
Bradley vs Illinois State,Illinois State,,,,,,,-9.1,0.19899999999999998,140.8,,,,,,,,0.19899999999999998,,,,140.8
Bradley vs Illinois-Chicago,Bradley,,,,,,,9.9,0.8140000000000001,145.7,,,,,,,,0.8140000000000001,,,,145.7
